year,team,seed,wins,losses,cwins,closses
2005,North Carolina,1,27,4,14,2
2005,Illinois,1,32,1,15,1
2005,Duke,1,25,5,11,5
2005,Washington,1,27,5,14,4
2005,Connecticut,2,22,7,13,3
2005,Oklahoma State,2,24,6,11,5
2005,Kentucky,2,25,5,14,2
2005,Wake Forest,2,26,5,13,3
2005,Kansas,3,23,6,12,4
2005,Arizona,3,27,6,15,3
2005,Oklahoma,3,24,7,12,4
2005,Gonzaga,3,25,4,12,2
2005,Florida,4,23,7,12,4
2005,Boston College,4,24,4,13,3
2005,Syracuse,4,27,6,11,5
2005,Louisville,4,29,4,14,2
2005,Villanova,5,22,7,11,5
2005,Alabama,5,24,7,12,4
2005,Michigan State,5,22,6,13,3
2005,Georgia Tech,5,19,11,8,8
2005,Wisconsin,6,22,8,11,5
2005,LSU,6,20,9,12,4
2005,Utah,6,27,5,13,1
2005,Texas Tech,6,20,10,10,6
2005,Charlotte,7,21,7,12,4
2005,Southern Illinois,7,26,7,15,3
2005,Cincinnati,7,24,7,12,4
2005,West Virginia,7,21,10,8,8
2005,Minnesota,8,21,10,10,6
2005,Texas,8,20,10,9,7
2005,Stanford,8,18,12,11,7
2005,Pacific,8,26,3,18,0
2005,Iowa State,9,18,11,9,7
2005,Nevada,9,24,6,16,2
2005,Mississippi State,9,22,10,9,7
2005,Pittsburgh,9,20,8,10,6
2005,NC State,10,19,13,7,9
2005,Saint Mary's,10,25,8,11,3
2005,Iowa,10,21,11,7,9
2005,Creighton,10,22,11,10,8
2005,Northern Iowa,11,21,10,11,7
2005,UAB,11,21,10,10,6
2005,UTEP,11,27,7,14,4
2005,UCLA,11,18,10,11,7
2005,New Mexico,12,26,6,10,4
2005,Milwaukee,12,24,5,14,2
2005,Old Dominion,12,28,5,15,3
2005,George Washington,12,22,7,11,5
2005,Ohio,13,21,10,11,7
2005,Pennsylvania ,13,20,8,13,1
2005,Vermont,13,24,6,16,2
2005,Louisiana,13,20,10,11,4
2005,Bucknell,14,22,9,10,4
2005,Utah State,14,24,7,13,5
2005,Niagara,14,20,9,13,5
2005,Winthrop,14,27,5,15,1
2005,UCF,15,24,8,13,7
2005,Southeastern Louisiana,15,24,8,13,3
2005,Eastern Kentucky,15,22,8,11,5
2005,Chattanooga,15,20,10,10,6
2005,Alabama A&M ,16,18,13,12,6
2005,Oakland,16,12,18,7,9
2005,Fairleigh Dickinson,16,20,12,13,5
2005,Delaware State,16,19,13,14,4
2005,Montana,16,18,12,9,5
