year,winner,loser,region,round
2005,Oakland,Alabama A&M ,none,0
2005,Illinois,Fairleigh Dickinson,Midwest Regional,1
2005,Nevada,Texas,Midwest Regional,1
2005,Milwaukee,Alabama,Midwest Regional,1
2005,Boston College,Pennsylvania ,Midwest Regional,1
2005,UAB,LSU,Midwest Regional,1
2005,Arizona,Utah State,Midwest Regional,1
2005,Southern Illinois,Saint Mary's,Midwest Regional,1
2005,Oklahoma State,Southeastern Louisiana,Midwest Regional,1
2005,Illinois,Nevada,Midwest Regional,2
2005,Milwaukee,Boston College,Midwest Regional,2
2005,Arizona,UAB,Midwest Regional,2
2005,Oklahoma State,Southern Illinois,Midwest Regional,2
2005,Illinois,Milwaukee,Midwest Regional,3
2005,Arizona,Oklahoma State,Midwest Regional,3
2005,Illinois,Arizona,Midwest Regional,4
2005,Washington,Montana,West Regional,1
2005,Pacific,Pittsburgh,West Regional,1
2005,Georgia Tech,George Washington,West Regional,1
2005,Louisville,Louisiana,West Regional,1
2005,Texas Tech,UCLA,West Regional,1
2005,Gonzaga,Winthrop,West Regional,1
2005,West Virginia,Creighton,West Regional,1
2005,Wake Forest,Chattanooga,West Regional,1
2005,Washington,Pacific,West Regional,2
2005,Louisville,Georgia Tech,West Regional,2
2005,Texas Tech,Gonzaga,West Regional,2
2005,West Virginia,Wake Forest,West Regional,2
2005,Louisville,Washington,West Regional,3
2005,West Virginia,Texas Tech,West Regional,3
2005,Louisville,West Virginia,West Regional,4
2005,North Carolina,Oakland,East Regional,1
2005,Iowa State,Minnesota,East Regional,1
2005,Villanova,New Mexico,East Regional,1
2005,Florida,Ohio,East Regional,1
2005,Wisconsin,Northern Iowa,East Regional,1
2005,Bucknell,Kansas,East Regional,1
2005,NC State,Charlotte,East Regional,1
2005,Connecticut,UCF,East Regional,1
2005,North Carolina,Iowa State,East Regional,2
2005,Villanova,Florida,East Regional,2
2005,Wisconsin,Bucknell,East Regional,2
2005,NC State,Connecticut,East Regional,2
2005,North Carolina,Villanova,East Regional,3
2005,Wisconsin,NC State,East Regional,3
2005,North Carolina,Wisconsin,East Regional,4
2005,Duke,Delaware State,South Regional,1
2005,Mississippi State,Stanford,South Regional,1
2005,Michigan State,Old Dominion,South Regional,1
2005,Vermont,Syracuse,South Regional,1
2005,Utah,UTEP,South Regional,1
2005,Oklahoma,Niagara,South Regional,1
2005,Cincinnati,Iowa,South Regional,1
2005,Kentucky,Eastern Kentucky,South Regional,1
2005,Duke,Mississippi State,South Regional,2
2005,Michigan State,Vermont,South Regional,2
2005,Utah,Oklahoma,South Regional,2
2005,Kentucky,Cincinnati,South Regional,2
2005,Michigan State,Duke,South Regional,3
2005,Kentucky,Utah,South Regional,3
2005,Michigan State,Kentucky,South Regional,4
2005,Illinois,Louisville,none,5
2005,North Carolina,Michigan State,none,5
2005,North Carolina,Illinois,none,6
Midwest Regional,West Regional,East Regional,South Regional
